car_ID,etat_de_route,carburant,turbo,nombre_portes,type_vehicule,roues_motrices,emplacement_moteur,empattement,longueur_voiture,largeur_voiture,hauteur_voiture,poids_vehicule,type_moteur,nombre_cylindres,taille_moteur,systeme_carburant,taux_alésage,course,taux_compression,chevaux,tour_moteur,consommation_ville,consommation_autoroute,prix,marque,modele
1,3,essence,standard,deux,cabriolet,propulsion,avant,225.0,428.8,162.8,124.0,1155.752416,dohc,quatre,130,mpfi,88.1,68.1,9.0,111,5000,11.2,8.71,13495.0,ALFA-ROMERO,GIULIA
2,3,essence,standard,deux,cabriolet,propulsion,avant,225.0,428.8,162.8,124.0,1155.752416,dohc,quatre,130,mpfi,88.1,68.1,9.0,111,5000,11.2,8.71,16500.0,ALFA-ROMERO,STELVIO
3,1,essence,standard,deux,hayon,propulsion,avant,240.0,434.8,166.4,133.1,1280.490216,ohcv,six,152,mpfi,68.1,88.1,9.0,154,5000,12.38,9.05,16500.0,ALFA-ROMERO,QUADRIFOGLIO
4,2,essence,standard,quatre,berline,traction,avant,253.5,448.6,168.1,137.9,1060.044504,ohc,quatre,109,mpfi,81.0,86.4,10.0,102,5500,9.8,7.84,13950.0,AUDI,100LS
5,2,essence,standard,quatre,berline,quatre_roues_motrices,avant,252.5,448.6,168.7,137.9,1280.943808,ohc,five,136,mpfi,81.0,86.4,8.0,115,5500,13.07,10.69,17450.0,AUDI,100LS
6,2,essence,standard,deux,berline,traction,avant,253.5,450.3,168.4,134.9,1137.155144,ohc,five,136,mpfi,81.0,86.4,8.5,110,5500,12.38,9.41,15250.0,AUDI,FOX
7,1,essence,standard,quatre,berline,traction,avant,268.7,489.5,181.4,141.5,1290.015648,ohc,five,136,mpfi,81.0,86.4,8.5,110,5500,12.38,9.41,17710.0,AUDI,100LS
8,1,essence,standard,quatre,break,traction,avant,268.7,489.5,181.4,141.5,1339.910768,ohc,five,136,mpfi,81.0,86.4,8.5,110,5500,12.38,9.41,18920.0,AUDI,5000
9,1,essence,turbo,quatre,berline,traction,avant,268.7,489.5,181.4,142.0,1399.784912,ohc,five,131,mpfi,79.5,86.4,8.3,140,5500,13.84,11.76,23875.0,AUDI,4000
10,0,essence,turbo,deux,hayon,quatre_roues_motrices,avant,252.7,452.6,172.5,132.1,1384.816376,ohc,five,131,mpfi,79.5,86.4,7.0,160,5500,14.7,10.69,17859.167,AUDI,5000S(DIESEL)
11,2,essence,standard,deux,berline,propulsion,avant,257.0,449.1,164.6,137.9,1086.35284,ohc,quatre,108,mpfi,88.9,71.1,8.8,101,5800,10.23,8.11,16430.0,BMW,320I
12,0,essence,standard,quatre,berline,propulsion,avant,257.0,449.1,164.6,137.9,1086.35284,ohc,quatre,108,mpfi,88.9,71.1,8.8,101,5800,10.23,8.11,16925.0,BMW,320I
