type_vehicule,roues_motrices,modele,marque,empattement,longueur_voiture,largeur_voiture,poids_vehicule,taille_moteur,taux_alésage,chevaux,consommation_ville,consommation_autoroute,prix
cabriolet,propulsion,GIULIA,ALFA-ROMEO,225.0,428.8,162.8,1155.752416,130,88.1,111,11.2,8.71,13495.0
cabriolet,propulsion,STELVIO,ALFA-ROMEO,225.0,428.8,162.8,1155.752416,130,88.1,111,11.2,8.71,16500.0
hayon,propulsion,QUADRIFOGLIO,ALFA-ROMEO,240.0,434.8,166.4,1280.490216,152,68.1,154,12.38,9.05,16500.0
berline,traction,100LS,AUDI,253.5,448.6,168.1,1060.044504,109,81.0,102,9.8,7.84,13950.0
berline,quatre_roues_motrices,100LS,AUDI,252.5,448.6,168.7,1280.943808,136,81.0,115,13.07,10.69,17450.0
berline,traction,FOX,AUDI,253.5,450.3,168.4,1137.155144,136,81.0,110,12.38,9.41,15250.0
berline,traction,100LS,AUDI,268.7,489.5,181.4,1290.015648,136,81.0,110,12.38,9.41,17710.0
break,traction,5000,AUDI,268.7,489.5,181.4,1339.910768,136,81.0,110,12.38,9.41,18920.0
berline,traction,4000,AUDI,268.7,489.5,181.4,1399.784912,131,79.5,140,13.84,11.76,23875.0
hayon,quatre_roues_motrices,5000S DIESEL,AUDI,252.7,452.6,172.5,1384.816376,131,79.5,160,14.7,10.69,17859.167
berline,propulsion,320I,BMW,257.0,449.1,164.6,1086.35284,108,88.9,101,10.23,8.11,16430.0
berline,propulsion,320I,BMW,257.0,449.1,164.6,1086.35284,108,88.9,101,10.23,8.11,16925.0
berline,propulsion,X1,BMW,257.0,449.1,164.6,1229.23432,164,84.1,121,11.2,8.4,20970.0
berline,propulsion,X3,BMW,257.0,449.1,164.6,1254.18188,164,84.1,121,11.2,8.4,21105.0
berline,propulsion,Z4,BMW,262.9,480.1,169.9,1385.72356,164,84.1,121,11.76,9.41,24565.0
berline,propulsion,X4,BMW,262.9,480.1,169.9,1465.10216,209,91.9,182,14.7,10.69,30760.0
berline,propulsion,X5,BMW,262.9,492.3,172.5,1533.14096,209,91.9,182,14.7,10.69,41315.0
berline,propulsion,X3,BMW,279.4,500.4,180.1,1589.83996,209,91.9,182,15.68,11.76,36880.0
hayon,traction,IMPALA,CHEVROLET,224.5,358.4,153.2,674.944896,61,73.9,48,5.0,4.44,5151.0
hayon,traction,MONTECARLO,CHEVROLET,240.0,396.0,161.5,850.0314079999999,90,77.0,70,6.19,5.47,6295.0
berline,traction,VEGA2300,CHEVROLET,240.0,403.4,161.5,865.907128,90,77.0,70,6.19,5.47,6575.0
hayon,traction,RAMPAGE,DODGE,238.0,399.5,162.1,850.938592,90,75.4,68,6.36,5.74,5572.0
hayon,traction,CHALLENGERSE,DODGE,238.0,399.5,162.1,850.938592,90,75.4,68,7.59,6.19,6377.0
hayon,traction,D200,DODGE,238.0,399.5,162.1,965.243776,98,77.0,102,9.8,7.84,7957.0
hayon,traction,MONACO(SW),DODGE,238.0,399.5,162.1,892.215464,90,75.4,68,7.59,6.19,6229.0
berline,traction,COLTHARDTOP,DODGE,238.0,399.5,162.1,902.194488,90,75.4,68,7.59,6.19,6692.0
berline,traction,COLT SW,DODGE,238.0,399.5,162.1,902.194488,90,75.4,68,7.59,6.19,7609.0
berline,traction,CORONETCUSTOM,DODGE,238.0,399.5,162.1,993.820072,98,77.0,102,9.8,7.84,8558.0
break,traction,DARTCUSTOM,DODGE,262.4,443.5,164.1,1149.85572,122,84.8,88,9.8,7.84,8921.0
hayon,traction,CORONET CUSTOM SW,DODGE,243.6,439.9,168.4,1275.047112,156,91.4,145,12.38,9.8,12964.0
hayon,traction,CIVIC,HONDA,220.0,367.3,162.3,777.003096,92,73.9,58,4.8,4.36,6479.0
hayon,traction,CIVICCVCC,HONDA,220.0,367.3,162.3,825.083848,92,73.9,76,7.59,6.19,6855.0
hayon,traction,CIVIC,HONDA,238.0,381.0,162.6,833.248504,79,73.9,60,6.19,5.6,5399.0
hayon,traction,ACCORD CVCC,HONDA,238.0,381.0,162.6,879.96848,92,73.9,76,7.84,6.92,6529.0
hayon,traction,CIVICCVCC,HONDA,238.0,381.0,162.6,887.225952,92,73.9,76,7.84,6.92,7129.0
berline,traction,ACCORDLX,HONDA,245.1,415.0,162.6,911.71992,92,73.9,76,7.84,6.92,7295.0
break,traction,CIVIC1500GL,HONDA,245.1,399.0,162.3,918.070208,92,74.2,76,7.84,6.92,7295.0
hayon,traction,ACCORD,HONDA,245.1,425.4,165.6,1014.231712,110,80.0,86,8.71,7.13,7895.0
hayon,traction,CIVIC1300,HONDA,245.1,425.4,165.6,1038.272088,110,80.0,86,8.71,7.13,9095.0
berline,traction,PRELUDE,HONDA,245.1,445.5,165.6,1045.075968,110,80.0,86,8.71,7.13,8845.0
berline,traction,ACCORD,HONDA,245.1,445.5,158.8,1075.920224,110,80.0,86,8.71,7.13,10295.0
berline,traction,CIVIC,HONDA,245.1,445.5,165.6,1118.10428,110,80.0,101,9.8,8.4,12945.0
berline,traction,CIVIC AUTO,HONDA,245.1,429.5,167.6,1040.086456,110,80.0,100,9.41,7.59,10345.0
berline,propulsion,MU-X,ISUZU,239.5,433.6,157.0,1060.044504,111,84.1,78,9.8,8.11,6785.0
berline,traction,D-MAX,ISUZU,240.0,396.0,161.5,850.0314079999999,90,77.0,70,6.19,5.47,8916.5
berline,traction,D-MAX V-CROSS,ISUZU,240.0,396.0,161.5,865.907128,90,77.0,70,6.19,5.47,8916.5
hayon,propulsion,D-MAX,ISUZU,243.8,438.4,165.6,1240.120528,119,87.1,90,9.8,8.11,11048.0
berline,propulsion,XJ,JAGUAR,287.0,507.0,176.8,1844.305072,258,92.2,176,15.68,12.38,32250.0
berline,propulsion,XF,JAGUAR,287.0,507.0,176.8,1844.305072,258,92.2,176,15.68,12.38,35550.0
berline,propulsion,XK,JAGUAR,259.1,486.9,179.3,1791.6884,326,89.9,262,18.09,13.84,36000.0
hayon,traction,RX3,MAZDA,236.5,404.1,163.1,857.28888,91,77.0,68,7.84,7.59,5195.0
hayon,traction,GLCDELUXE,MAZDA,236.5,404.1,163.1,861.8248,91,77.0,68,7.59,6.19,6095.0
hayon,traction,RX2COUPE,MAZDA,236.5,404.1,163.1,864.09276,91,77.0,68,7.59,6.19,6795.0
berline,traction,RX-4,MAZDA,236.5,423.7,163.1,882.23644,91,77.0,68,7.59,6.19,6695.0
berline,traction,GLCDELUXE,MAZDA,236.5,423.7,163.1,884.5044,91,78.2,68,7.59,6.19,7395.0
hayon,propulsion,626,MAZDA,242.1,429.3,166.9,1079.54896,70,84.6,101,13.84,10.23,10945.0
hayon,propulsion,GLC,MAZDA,242.1,429.3,166.9,1079.54896,70,84.6,101,13.84,10.23,11845.0
hayon,propulsion,RX-7GS,MAZDA,242.1,429.3,166.9,1081.81692,70,84.6,101,13.84,10.23,13645.0
hayon,propulsion,GLC4,MAZDA,242.1,429.3,166.9,1133.98,80,84.6,135,14.7,10.23,15645.0
hayon,traction,626,MAZDA,251.0,451.6,168.9,1081.81692,122,86.1,84,9.05,7.35,8845.0
berline,traction,GLCCUSTOML,MAZDA,251.0,451.6,168.9,1093.15672,122,86.1,84,9.05,7.35,8495.0
hayon,traction,GLCCUSTOM,MAZDA,251.0,451.6,168.9,1081.81692,122,86.1,84,9.05,7.35,10595.0
berline,traction,RX-4,MAZDA,251.0,451.6,168.9,1093.15672,122,86.1,84,9.05,7.35,10245.0
berline,traction,GLCDELUXE,MAZDA,251.0,451.6,168.9,1108.125256,122,86.1,64,6.53,5.6,10795.0
hayon,traction,626,MAZDA,251.0,451.6,168.9,1099.9606,122,86.1,84,9.05,7.35,11245.0
berline,propulsion,GLC,MAZDA,266.4,444.5,167.9,1211.09064,140,95.5,120,12.38,8.71,18280.0
berline,propulsion,RX-7GS,MAZDA,266.4,444.5,167.9,1224.6984,134,87.1,72,7.59,6.03,18344.0
berline,propulsion,ELECTRA225CUSTOM,BUICK,279.4,484.9,178.6,1594.37588,183,90.9,123,10.69,9.41,25552.0
break,propulsion,CENTURYLUXUS(SW),BUICK,279.4,484.9,178.6,1700.97,183,90.9,123,10.69,9.41,28248.0
coupé fermé,propulsion,CENTURY,BUICK,271.0,476.2,178.6,1585.30404,183,90.9,123,10.69,9.41,28176.0
berline,propulsion,SKYHAWK,BUICK,293.6,514.6,182.1,1710.04184,183,90.9,123,10.69,9.41,31600.0
berline,propulsion,OPEL ISUZU DELUXE,BUICK,293.6,514.6,182.1,1696.43408,234,87.9,155,14.7,13.07,34184.0
cabriolet,propulsion,SKYLARK,BUICK,245.4,458.0,179.1,1671.48652,234,87.9,155,14.7,13.07,35056.0
berline,propulsion,CENTURYSPECIAL,BUICK,307.1,528.6,182.1,1769.0088,308,96.5,184,16.8,14.7,40960.0
coupé fermé,propulsion,REGAL SPORT COUPE TURBO,BUICK,284.5,506.0,182.9,1685.09428,304,96.5,184,16.8,14.7,45400.0
hayon,propulsion,COUGAR,MERCURY,260.9,453.1,172.7,1319.95272,140,96.0,175,12.38,9.8,16503.0
hayon,traction,MIRAGE,MITSUBISHI,238.0,399.5,163.6,869.989456,92,75.4,68,6.36,5.74,5389.0
hayon,traction,LANCER,MITSUBISHI,238.0,399.5,163.6,881.782848,92,75.4,68,7.59,6.19,6189.0
hayon,traction,OUTLANDER,MITSUBISHI,238.0,399.5,163.6,908.998368,92,75.4,68,7.59,6.19,6669.0
hayon,traction,G4,MITSUBISHI,236.2,399.5,162.1,972.95484,98,77.0,102,9.8,7.84,7689.0
hayon,traction,MIRAGEG4,MITSUBISHI,244.6,439.4,166.1,1075.01304,110,80.5,116,10.23,7.84,9959.0
hayon,traction,G4,MITSUBISHI,244.6,439.4,166.1,1055.962176,122,85.1,88,9.41,7.35,8499.0
hayon,traction,OUTLANDER,MITSUBISHI,243.6,439.9,168.4,1285.026136,156,90.9,145,12.38,9.8,12629.0
